12,104,Normal,-89.71,37.47,Peoria to Ceder Rapids,2016-05-29 19:06:01,2
12,104,Normal,-90.15,38.62,Peoria to Ceder Rapids,2016-05-29 19:08:01,2
12,104,Normal,-90.24,38,Peoria to Ceder Rapids,2016-05-29 19:10:01,2
12,104,Normal,-89.8,35.94,Peoria to Ceder Rapids,2016-05-29 19:12:01,2
12,104,Normal,-90.07,35.68,Peoria to Ceder Rapids,2016-05-29 19:14:01,2
12,104,Normal,-90.07,35.1,Peoria to Ceder Rapids,2016-05-29 19:16:01,2
12,104,Normal,-90.07,35.1,Peoria to Ceder Rapids,2016-05-29 19:18:01,2
12,104,Normal,-90.35,38.43,Peoria to Ceder Rapids,2016-05-29 19:20:01,2
12,104,Normal,-90,37.72,Peoria to Ceder Rapids,2016-05-29 19:22:01,2
12,104,Normal,-89.54,36.84,Peoria to Ceder Rapids,2016-05-29 19:24:01,2
12,104,Normal,-89.8,35.94,Peoria to Ceder Rapids,2016-05-29 19:26:01,2
12,104,Normal,-90.07,35.1,Peoria to Ceder Rapids,2016-05-29 19:28:01,2
12,104,Normal,-90.07,35.1,Peoria to Ceder Rapids,2016-05-29 19:30:01,2
12,104,Normal,-90.15,38.62,Peoria to Ceder Rapids,2016-05-29 19:32:01,2
12,104,Normal,-90.24,38,Peoria to Ceder Rapids,2016-05-29 19:34:01,2
12,104,Normal,-89.8,35.94,Peoria to Ceder Rapids,2016-05-29 19:36:01,2
12,104,Normal,-89.8,35.94,Peoria to Ceder Rapids,2016-05-29 19:38:01,2
12,104,Normal,-89.56,37.2,Peoria to Ceder Rapids,2016-05-29 19:40:01,2
12,104,Normal,-90.24,38,Peoria to Ceder Rapids,2016-05-29 19:42:01,2
12,104,Normal,-90.35,38.43,Peoria to Ceder Rapids,2016-05-29 19:44:01,2
12,104,Normal,-90.15,38.62,Peoria to Ceder Rapids,2016-05-29 19:46:01,2
12,104,Normal,-90.35,38.43,Peoria to Ceder Rapids,2016-05-29 19:48:01,2
